number,chat_room,theme,number_docs,processing_time,model,topic01,topic02,topic03,ca,cp,npmi,umass
239,username-availability-checker/Lobby,Authentication,351,183,LDA,version ios safari merge work issue gsoc iphone chrome check ,request website problem project time code return cookie lot modify ,test medium error facebook profile fail status check log problem ,0.286014673,0.084386961,-0.020588258,-3.828653163
240,username-availability-checker/Lobby,Authentication,351,5031,PTM,problem medium website request project profile code gsoc return feel ,version ios safari iphone chrome browser work find import cookie ,test check error facebook merge issue time status log fail ,0.282230249,0.116530372,-0.005999772,-3.602626812
241,vaadin/web-components,Web development; Front-end,"5,739","6,507,977",GPU-PDMM,work vaadin component polymer vaadingrid style template issue add version ,grid row column item set change import property angular support ,element event file dom call function error release api module ,0.29336984,0.062285866,-0.001357592,-3.097866504
242,vaadin/web-components,Web development; Front-end,"5,739","5,498",LDA,grid column row item vaadingrid set work change event datum ,polymer component vaadin work issue element version vaadingrid release question ,style template theme element work dom import vaadingrid component css ,0.267990556,-0.006855528,-0.022986224,-2.77299482
243,vaadin/web-components,Web development; Front-end,"5,739",171254,PTM,polymer vaadin component work issue element version angular support problem ,grid column row item vaadingrid set event change datum work ,style template element theme dom module vaadincombobox css work dommodule ,0.260693262,0.00894822,-0.014467493,-2.596372255
244,vespa-engine/Lobby,Graphical user interface,"1,335","1,951,495",GPU-PDMM,vespa field node attribute cluster default search work content application ,query document rank type set tensor case add feature expression ,support question issue build create memory api file user state,0.498106203,0.111530357,0.004240389,-2.52066312
245,vespa-engine/Lobby,Graphical user interface,"1,335","1,656",LDA,field document query attribute type search match default summary group ,node vespa cluster document application content service docker container error ,query rank vespa tensor feature case support model expression create ,0.294503404,0.005613333,-0.034422297,-3.518718244
246,vespa-engine/Lobby,Graphical user interface,"1,335",52548,PTM,field document type vespa attribute search match summary searcher build ,query rank work case add support tensor feature expression question ,node document cluster content vespa application error group service docker ,0.244392811,-0.071981279,-0.063236675,-3.687927626
247,webpack/webpack,Build automation; Code quality,"109,604","103,735,806",GPU-PDMM,webpack file module loader error build import config bundle plugin ,code issue problem project question thing function find time react ,work require load server change dependency dev jquery browser fine ,0.241085601,0.048165533,-0.04432101,-3.467408284
248,webpack/webpack,Build automation; Code quality,"109,604","90,168",LDA,webpack work npm issue build server file project code problem ,loader file test webpack css path true config output module ,webpack module file import error bundle require chunk code work ,0.375106639,-0.085517076,-0.036643368,-2.448490597
249,webpack/webpack,Build automation; Code quality,"109,604",2769912,PTM,file webpack module import bundle require css loader work entry ,loader test error module true var path filename output function ,webpack work issue build server config error problem npm question ,0.229370368,-0.032373388,-0.055876124,-3.557830868
250,webpack/docs,Build automation; Software documentation,938,"811,667",GPU-PDMM,webpack issue doc work code good site content point link,github webpackdocs sokra update wiki push commit comment webpacknewdocs jhnns ,plugin loader file build error module script npm app import ,0.274171195,-0.112429209,-0.027493843,-2.663410502
251,webpack/docs,Build automation; Software documentation,938,609,LDA,github webpackdocs sokra update wiki push commit issue comment webpack ,webpack doc good work site content plugin point link feel ,webpack code work error file script app add import coreumdjs ,0.330496859,-0.117466311,-0.008282469,-1.524027747
252,webpack/docs,Build automation; Software documentation,938,18147,PTM,github webpackdocs sokra update wiki push commit issue comment webpacknewdocs ,webpack work doc good site plugin point link feel idea ,code add loader error file script app import coreumdjs button ,0.216705293,-0.0639142,-0.015719674,-1.843725386
253,webuildsg/live,Graphical user interface; Workshop,"2,432","823,085",GPU-PDMM,question good morning hear nice people live time wave work ,web scala app gitter code podcast application iot website calendar ,year power security thing singapore long issue day computer podcast ,0.333962907,-0.016146192,-0.015146453,-3.949788648
254,webuildsg/live,Graphical user interface; Workshop,"2,432",562,LDA,nice hear power talk long security stuff ftw thing issue ,question good morning people live hear wave start great audience ,work podcast nice year music time feedback episode play web ,0.430377428,0.066839766,-0.011034654,-2.756441199
255,webuildsg/live,Graphical user interface; Workshop,"2,432",19312,PTM,question good morning people live wave minute great work audience ,talk year cool power long stuff time web issue css ,hear nice start audio podcast music singapore love feedback play ,0.397314373,0.089713174,-0.008613043,-2.363582559
256,CocoaPods/Xcodeproj,Web development,15,"21,065",GPU-PDMM,build set error project issue import bundle asset install file ,configure pod executable xcode jenkin lipo keychain framework binary firebase ,app ios keychain xcode lipo splash firebase directory binary configure ,0.090541927,-0.328797176,-0.107198695,-9.25038589
257,CocoaPods/Xcodeproj,Web development,15,39,LDA,asset create assistance add icon attempt splash screen imageview image ,build xcode error project issue install path work fatal find ,app pod set ios file import bundle appicon check script ,0.234151902,0.071848434,-0.052293284,-3.886952065
258,CocoaPods/Xcodeproj,Web development,15,660,PTM,app pod set project file path import asset appicon check ,ios script find xcodebuild configure failure attempt splash screen phase ,build xcode error issue install bundle develop create fatal add ,0.17709938,0.030644557,-0.06083395,-2.387180853
259,robbyrussell/oh-my-zsh,Configuration management,308,"191,356",GPU-PDMM,theme ohmyzsh plugin zsh zshrc file issue problem bash export ,work command script code function font type find shell start ,git prompt ssh current column time fine version pull config ,0.220470233,-0.128663034,-0.047783699,-3.424662459
260,robbyrussell/oh-my-zsh,Configuration management,308,275,LDA,directory work code git font type find problem bash dir ,theme zsh prompt zshrc ohmyzsh set work terminal file time ,plugin command git export issue project ohmyzsh source alias uncomment ,0.143864134,-0.185083323,-0.065679314,-3.995090749
261,robbyrussell/oh-my-zsh,Configuration management,308,7200,PTM,work zsh command prompt file issue problem bash zshrc script ,theme ohmyzsh export set add source alias time uncomment window ,git plugin terminal project directory ohmyzsh type install enter start ,0.227202156,-0.088232209,-0.038031883,-3.280475708
